"","PTTAX","VTSMX","AGTHX","VFINX","VBMFX"
"343",0.0241298891736755,0.00842757095406634,0.0310211546828905,0.021705498405588,0.0394516178825745
"344",0.0231296981927301,0.0185495278224409,0.0420084923333607,0.0318026587428242,0.0366089376461891
"345",0.0231296981927301,0.00882451281879097,0.0338318651679803,0.0224074723300575,0.0356614744054194
"346",0.0191292416417149,0.00941990538851014,0.0340874511060236,0.0227853947648265,0.0309236740114435
"347",0.0181291531183583,0.0052520360362693,0.028721452777579,0.0190057189692579,0.0318712340902386
"348",0.0191292416417149,0.0127938707839339,0.0381757646887138,0.0252692334675425,0.0318712340902386
"349",0.0191292416417149,0.0110076323926731,0.0381757646887138,0.0231634052869864,0.0318712340902386
"350",0.0191292416417149,0.0252975192953918,0.0529958299838312,0.0371482585830249,0.0309236740114435
"351",0.0181291531183583,0.0324424526330673,0.0606613941373304,0.0444376168152355,0.0299761139326483
"352",0.0201293301650715,0.0320455107683427,0.0616834929450416,0.0443836522773142,0.0328187941690338
"353",0.0201293301650715,0.0372056943276595,0.0662828695396129,0.0490272836985073,0.0309236740114435
"354",0.0225353417206482,0.0370072638500326,0.0673049683473241,0.0480553989970403,0.0349114638984936
"355",0.0225353417206482,0.0391904441060182,0.069093580024703,0.0494052887152053,0.0349114638984936
"356",0.0235378892261339,0.0429613513661665,0.0742039924151042,0.0524829960917661,0.0368103607390755
"357",0.0265453268274131,0.0395874061981105,0.0731818936073932,0.0494592587585886,0.0425070512608214
"358",0.0255427793219276,0.0453429823271465,0.0803364219650625,0.054588824272322,0.0406082512582647
"359",0.0265453268274131,0.0471292207184074,0.0816140794947656,0.0559927666157993,0.0415577480975684
"360",0.0275477718753101,0.0510986393656535,0.0846802942697447,0.0596644307535964,0.0425070512608214
"361",0.0285503193807956,0.0487170084046736,0.0808474577608924,0.0578825604698882,0.0434565481001251
"362",0.0285503193807956,0.0379995982844764,0.0644942306461827,0.0482173806981952,0.0453555417787323
"363",0.0285503193807956,0.0295496154069433,0.0583617194480704,0.0400100197205097,0.046305038618036
"364",0.0265453268274131,0.0275567139993814,0.0558065676849725,0.0382281549422634,0.0453555417787323
"365",0.0285503193807956,0.0265601924998134,0.0552955046730912,0.0363923201206339,0.0472544386193144
"366",0.0265453268274131,0.0289517550983587,0.0552955046730912,0.0397940734814335,0.0472544386193144
