std,mean,ETFname,log_mean,log_std,sharpe ratio
0.997150576,0.018544771,FV,0.013561818,1.000033137,0.240229884
0.747244922,0.040959967,FVD,0.038163236,0.747676928,0.930981662
0.981892133,0.014713789,FVL,0.009887061,0.984050261,0.243238279
0.38228599,0.013703116,FWDB,0.01297212,0.382556654,0.511434357
1.421416045,0.025275471,FWDD,0.015257938,1.415960911,0.253243561
1.538623995,0.020648138,FWDI,0.008836211,1.538310294,0.132665235
0.712741372,-0.00480048,FXA,-0.007337281,0.712963948,-0.166402051
0.707480414,-0.034318101,FXB,-0.036859709,0.715380223,-0.781096043
0.557131175,-0.021417578,FXC,-0.02296899,0.557032639,-0.682768709
0.907440811,-0.010545291,FXCH,-0.014644741,0.905683369,-0.254197348
0.972733109,0.010535533,FXD,0.00580092,0.974541858,0.139589395
0.638159913,-0.022132288,FXE,-0.024166835,0.637956582,-0.585784223
0.949299353,-0.000808089,FXF,-0.00504432,0.908024593,-0.067658933
0.826775403,0.025883711,FXG,0.022464576,0.827613297,0.461261128
1.093468029,0.010518532,FXH,0.004520914,1.097560601,0.091692994
1.600370338,0.007285913,FXI,-0.005515015,1.602159396,-0.050490248
1.092959214,0.038992871,FXL,0.033006885,1.095406115,0.58023154
2.163823449,-0.033668419,FXN,-0.057009664,2.161255633,-0.392106168
0.957006003,0.036790774,FXO,0.032203134,0.958708947,0.627131966
3.176159707,-0.023506197,FXP,-0.073933978,3.18027072,-0.31548169
1.104588414,0.024884179,FXR,0.018782123,1.105984436,0.376918959
0.655885553,-0.026776488,FXS,-0.028929776,0.656384816,-0.692004184
0.577604495,-0.009270626,FXSG,-0.010935539,0.577396257,-0.275211618
0.936430625,0.032704497,FXU,0.028314788,0.937799914,0.569780416
0.672222641,0.017845918,FXY,0.01559707,0.670455071,0.330445102
1.114989447,0.038331164,FXZ,0.032118224,1.115284817,0.576178723
1.081315996,0.035008519,FYC,0.02915452,1.083173966,0.48050289
1.035240714,0.01558532,FYLD,0.010199395,1.040520682,0.225058591
1.183803147,0.0140065,FYT,0.007011046,1.183879685,0.152497986
1.101259514,0.022715403,FYX,0.016656692,1.101793971,0.301211657
0.473432854,0.01549675,GAA,0.014376005,0.473726933,0.534380266
1.710353575,0.004301058,GAF,-0.010305811,1.711004518,-0.052974476
0.539888861,0.009359972,GAL,0.007901664,0.540756703,0.291104924
8.758024351,-0.341778004,GASL,-0.729882318,8.850200581,-0.893183893
0.263358531,0.0072237,GBF,0.006877173,0.263414876,0.350197218
0.711215459,-0.025983407,GCC,-0.028511964,0.711222722,-0.67796881
2.917525891,0.089694838,GDX,0.047117752,2.921958546,0.247303433
3.322592535,0.132578742,GDXJ,0.077442043,3.323060493,0.326250029
0.971513088,0.035317321,GEUR,0.030619734,0.968690075,0.454840641
1.308662943,0.016348923,GEX,0.007777227,1.311392428,0.170805566
0.962045844,-0.011722691,GGOV,-0.016344464,0.962307228,-0.278254837
0.500800379,0.016082519,GHYG,0.014828377,0.501152207,0.530471031
1.006281403,0.017593091,GII,0.012532139,1.007171167,0.274911341
1.530709366,0.015618059,GIVE,0.004105372,1.516912391,0.063571399
0.924165826,0.016804705,GLD,0.012548264,0.922974878,0.175377771
1.843212405,-0.041374022,GLL,-0.058430186,1.850360135,-0.421566362
1.021410559,0.016480163,GLTR,0.011272189,1.021414776,0.141083042
1.194648158,0.022959937,GMF,0.015810209,1.197802008,0.255466746
1.631115107,0.017909367,GML,0.004617939,1.632293664,0.114824202
1.236934287,0.01913305,GMM,0.01147761,1.239147917,0.196703199
0.515867266,0.012719798,GMMB,0.011388896,0.516455324,0.35389502
0.516971842,0.000610254,GMOM,-0.000726276,0.517722036,0.003732994
0.333358294,0.008008588,GMTB,0.007453104,0.333598181,0.330444561
0.257314116,0.003529671,GNMA,0.003199052,0.257365963,0.153292647
1.318112412,0.012065829,GNR,0.003374704,1.320342613,0.120059065
2.89700276,0.151368125,GOEX,0.109429357,2.896247256,0.525572221
0.254187828,0.004748017,GOVT,0.004425343,0.254233466,0.257313834
0.849914914,0.023487719,GQRE,0.019867817,0.852097846,0.371433053
3.035505609,-0.041020721,GREK,-0.087611019,3.065926233,-0.400392209
1.089954894,0.007717455,GRES,0.001781543,1.090855463,0.091867288
0.930586232,0.017084791,GRI,0.012754409,0.931733677,0.221129577
1.656630079,0.042684816,GRID,0.029003327,1.654909586,0.308595711
1.405809574,-0.048596833,GSG,-0.058471131,1.40532161,-0.644180834
0.03953251,0.005794095,GSY,0.005786128,0.039529288,2.327622833
0.617342257,-0.00385748,GTAA,-0.005770888,0.620050105,-0.092250198
1.04949437,-0.004945931,GULF,-0.010455249,1.051185259,-0.134173295
1.308049514,0.012612008,GUNR,0.004055705,1.309952825,0.131675498
1.569824768,0.028021434,GUR,0.0156978,1.572005949,0.203635563
1.336369367,0.021443857,GURI,0.01260016,1.32874081,0.228670188
1.011331106,0.00180719,GURU,-0.003317758,1.014324316,0.015933641
1.145304234,0.032172236,GVAL,0.025579393,1.150884907,0.453021029
0.161784869,0.006493416,GVI,0.006362568,0.161784106,0.632050236
1.00475216,0.019979944,GWL,0.014906908,1.009729588,0.310833852
0.878943001,0.038371192,GWX,0.034494035,0.881499959,0.663422296
1.514567692,0.025498031,GXC,0.014038611,1.515538326,0.160696241
1.151410705,0.004034703,GXF,-0.002626638,1.15727725,0.016452534
1.719972291,-0.029719408,GXG,-0.044518144,1.722335004,-0.363631303
0.912866734,-0.003884681,GYEN,-0.008048348,0.913578567,-0.177021514
0.915215314,-0.013262905,GYLD,-0.017447305,0.915617094,-0.300015144
1.359573567,0.026203666,HACK,0.016934274,1.364207729,0.211636889
1.896476496,0.023194557,HAO,0.005274156,1.894725706,0.024232719
1.209321557,0.012020251,HAP,0.004713486,1.210241664,0.153782793
